1	belun	LNGO	f	\N	t	22146			3	\N	2	4	4	D	D	D	t	t	t	f
2	Grupo Feto Foin Sa'e Timor Lorasae (GFFTL)	LNGO	f	\N	t	22000			3	\N	2	2	2	D	D	D	t	t	t	t
3	Health Alliance International	INGO	\N	\N	t	\N			4	\N	2	3	3	N	D	D	t	t	t	f
4	Asian Justice and Rights (AJAR)	LNGO	\N	\N	t	30750			3	\N	3	1	1	D	D	D	t	t	t	t
5	Kdadalek Sulimutuk Institute	LNGO	\N	\N	t	189000			3	\N	2	3	3	D	D	W	t	t	t	t
6	Haburas Dezemvolve Talento ( HADESTA)	LNGO	\N	\N	t	20000			4	\N	4	4	3	W	W	W	t	t	t	t
7	Cruz Vermelha de Timor Leste (CVTL)	LNGO	f	\N	t	250000		Encontro Direita	2	\N	2	2	2	D	D	W	t	t	t	t
8	Grupo Estudante Buka Hamrik Mesak	CBO	f	\N	t	7000			1	\N	1	3	3	M	F	N	f	f	f	f
9	Credit Uniao Dadira	CBO	f	\N	f	\N		Fundus Rasik	4	\N	4	4	4	D	M	D	t	t	t	t
10	Assosiasaun Haburas Comunidade	LNGO	f	\N	f	\N		Fundus Rasik	4	\N	5	5	5	N	N	N	f	f	f	f
11	Foin sae Unidade Dezenvolve Futuru (FUNDEF)	LNGO	f	\N	t	17298			3	\N	3	3	3	D	W	F	t	t	t	f
12	Youth Development Program (YDP)	LNGO	f	\N	t	900			3	\N	3	5	5	M	D	M	t	t	t	f
13	Ba Futuru	LNGO	f	\N	t	802924			2	\N	1	1	5	D	D	D	t	t	t	t
14	Sentru Treinamentu Vocasional Juventude Comoro (STVJC)	CBO	f	\N	t	4000			3	\N	1	4	2	N	D	D	t	t	t	t
15	Ahisaun Foundation	LNGO	f	\N	t	36000			3	\N	1	1	5	F	D	N	t	t	t	t
16	Koperativa Soletete Maquili Atauro 	CBO	f	\N	t	855720			1	\N	1	1	1	N	N	N	f	f	f	f
17	Institute Mata Dalan Integrado (IMI)	LNGO	f	\N	t	50000			3	\N	5	3	4	N	D	D	t	t	t	t
18	Ita ba Paz	LNGO	f	\N	t	25000			4	\N	2	4	4	W	D	W	t	t	t	f
19	Haburas Foundation	LNGO	f	\N	t	5000			3	\N	2	2	2	F	D	D	t	t	t	t
20	Permatil Timor Leste	LNGO	f	\N	t	\N			4	\N	3	1	4	W	F	N	t	t	t	t
21	Assosisaun Hak	LNGO	f	\N	t	\N		Sosial Media	3	\N	1	1	1	D	D	D	t	t	t	t
22	Community Development Interest (CDI)	LNGO	f	\N	f	\N			4	\N	1	3	4	W	W	W	t	t	t	t
23	Triangle Generation Humanitaria	INGO	f	\N	f	\N			3	\N	1	3	3	W	D	D	t	t	t	t
24	Acbit	LNGO	f	\N	t	1000			3	\N	1	1	1	D	D	D	t	t	t	t
25	Lalenok ba Ema Hotu (LABEH)	LNGO	f	\N	f	\N			5	\N	5	5	5	N	D	D	t	t	t	t
26	Labour Advocacy Institute of East Timor (LAIFET)	LNGO	f	\N	t	16288			2	\N	5	3	3	D	D	D	t	t	t	t
27	Liberta Consultan  & Advocasia	LNGO	f	\N	t	18332			3	\N	3	3	3	W	W	N	t	t	t	f
28	Working Wome's Centre Timor Leste (WWCTL)	LNGO	f	\N	t	4000			3	\N	3	1	1	D	D	D	t	t	t	t
29	Spesial Olympics Timor Leste	LNGO	f	\N	f	\N			4	\N	1	3	4	N	N	N	f	f	t	f
30	Mata Dalan Institute (MDI)	LNGO	f	\N	t	7000			3	\N	3	3	3	W	D	D	t	t	t	t
31	Fundasaun Cristal	LNGO	f	\N	t	3000			3	\N	2	3	3	D	D	D	t	t	t	t
32	Paz y Desarrollo	INGO	f	\N	t	\N			3	\N	3	3	3	N	D	D	t	t	t	t
33	Institute Ciencias Religioso	AC	f	\N	t	\N			4	\N	2	2	2	D	D	D	t	t	t	t
34	Fundacao de Sao Paulo, Diocese de Dili	AC	f	\N	f	\N			4	\N	1	4	4	W	D	D	t	t	t	f
35	Rae'es Hadomi Timor Oan (RHTO)	LNGO	f	\N	t	106000			4	\N	2	4	1	D	D	D	t	f	t	t
36	ILO	UN	f	\N	t	\N			3	\N	3	3	3	N	D	D	t	t	t	t
37	Agensia Dezenvolvimentu Timor-Leste	LNGO	f	\N	t	17500			5	\N	2	3	4	D	D	D	t	t	t	t
38	Asistensia Legal ba Feto no Labarik	LNGO	f	\N	t	351699		Encontru	3	\N	2	2	2	D	D	D	t	t	t	t
39	Xanana Gusmao Reading Room	LNGO	f	\N	t	\N		Encontru Parseiros	3	\N	2	3	3	W	D	D	t	t	t	t
40	Catalpa International	INGO	\N	\N	t	\N			2	\N	1	1	1	W	D	D	t	t	t	t
41	Handicap International	INGO	t	2000	t	5000	Directly	Directly	\N	3	\N	\N	\N	D	D	D	t	t	t	t
42	SOLS	INGO	\N	\N	\N	\N			3	\N	3	3	3	D	D	D	t	t	t	t
43	Centru Joventude Becora	CBO	\N	\N	t	\N		Directly	5	\N	2	5	5	W	D	D	t	t	t	t
44	ETBU (East Timor Blind Union)	LNGO	\N	\N	t	32000		Directly	3	\N	5	5	5	W	W	W	t	t	t	t
45	Mane ho Vizaun Foun	LNGO	f	\N	t	118800		Directly	3	\N	5	5	5	W	D	W	t	t	t	t
46	Raebia - TL	LNGO	\N	\N	\N	\N			2	\N	2	2	2	W	D	D	t	t	t	f
47	Fundasaun Alola	LNGO	t	2000	t	50000	Directly		2	1	2	2	2	D	D	D	t	t	t	t
48	Catholic Relief Service (CRS)	INGO	f	\N	t	3000			3	\N	2	4	3	D	D	D	t	t	t	t
49	Assosiasun Nasional Juventude Cristao Timor Leste  (AJUCTIL)	LNGO	f	\N	t	2000		Direitamente	4	\N	4	4	4	W	W	W	t	t	t	t
50	Secretariado  Rede ba Rai	LNGO	f	\N	t	\N			3	\N	2	2	4	D	D	D	t	t	t	t
\.


