1	2014	Benvindu Prezidente SBY mai vizita Timor-Leste! Labele fase liman ba krime kontra umanidade husi 1975-1999.	Benvindu Prezidente SBY mai vizita Timor-Leste! Labele fase liman ba krime kontra umanidade husi 1975-1999.	Benvindu Prezidente SBY mai vizita Timor-Leste! Labele fase liman ba krime kontra umanidade husi 1975-1999.	\N	\N	\N	\N	\N	\N	\N	RPR
2	2013	Haforsa lei hodi hametin estady de direitu no demokratika	Haforsa lei hodi hametin estady de direitu no demokratika	Haforsa lei hodi hametin estady de direitu no demokratika	\N	\N	\N	\N	\N	\N	\N	RPR
3	2013	Lian Direitus Umanus No. 1	Lian Direitus Umanus No. 1	Lian Direitus Umanus No. 1	\N	\N	\N	\N	\N	\N	\N	RPR
4	2014	“Iha Timor Leste : Lia-los ho Justisa Namlele no Hahu Namlaek”	“Iha Timor Leste : Lia-los ho Justisa Namlele no Hahu Namlaek”	“Iha Timor Leste : Lia-los ho Justisa Namlele no Hahu Namlaek”	\N	\N	\N	\N	\N	\N	\N	RPR
5	2014	Komemora Tinan 72 Ba Loron Invazaun Tropas Japonez mai Timor-Leste (Fevereiru 1942 – Agustu 1945). “Rekuinhesementu Istoria Pasadu Okupasaun Militar Japaun”	Komemora Tinan 72 Ba Loron Invazaun Tropas Japonez mai Timor-Leste (Fevereiru 1942 – Agustu 1945). “Rekuinhesementu Istoria Pasadu Okupasaun Militar Japaun”	Komemora Tinan 72 Ba Loron Invazaun Tropas Japonez mai Timor-Leste (Fevereiru 1942 – Agustu 1945). “Rekuinhesementu Istoria Pasadu Okupasaun Militar Japaun”	\N	\N	\N	\N	\N	\N	\N	RPR
6	2013	Commemoration of International Day of Enforced Disappearances "Bring them home"	Komemora loron internasionál ba ema lakon forsada "Lori sira fila mai uma"	Commemoration of International Day of Enforced Disappearances "Bring them home"	COMEMORAÇÃO DO DIA INTERNACIONAL DOS DESAPARECIDOS “Tragam-nos para casa!”	\N	\N	\N	\N	\N	\N	RPR
7	2013	Truth and Justice are the foundations for developing democracy in Timor-Leste	Lialoos no Justisa nu’udar Aliserse ba Prosesu Dezenvolvimentu Demokrásia iha Timor-Leste	Truth and Justice are the foundations for developing democracy in Timor-Leste	Verdade e Justiça são os fundamentos para o desenvolvimento da Democracia em Timor-Leste	\N	\N	\N	\N	\N	\N	RPR
8	2014	COMMEMORATION OF THE LIQUISA CHURCH MASSACRE ON 5-6 APRIL 1999: “Families of the Victim continue to live with uncertainty”	KOMEMORA LORON MASAKRE IGREIJA LIQUISA 5 – 6 ABRIL: “Familia Vitima sira nafatin hela iha inserteza nia laran”	COMMEMORATION OF THE LIQUISA CHURCH MASSACRE ON 5-6 APRIL 1999: “Families of the Victim continue to live with uncertainty”	\N	\N	\N	\N	\N	\N	\N	RPR
9	2014	Report to Amnesty International Committee on the Rights of a Child	Report to Amnesty International Committee on the Rights of a Child	Report to Amnesty International Committee on the Rights of a Child	\N	\N	\N	\N	\N	\N	\N	RPR
10	2013	Human Rights Voice No. 2	Lian Direitus Umanus No. 2	Human Rights Voice No. 2	\N	\N	\N	\N	\N	\N	\N	RPR
11	2013	Submission No. 77. Inquiry into Australia’s Relationship with Timor-Leste	\N	Submission No. 77. Inquiry into Australia’s Relationship with Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
12	2014	Human Rights Voice No. 3	Lian Direitus Umanus No. 3	Human Rights Voice No. 3	\N	\N	\N	\N	\N	\N	\N	RPR
124	2013	Breaking the cycle of domestic violence in Timor-Leste	Hafahe siklu violénsia doméstika iha Timor-Leste	Breaking the cycle of domestic violence in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
125	2014	Assessment of development result: Evaluation of UNDP contribution to Timor-Leste	\N	Assessment of development result: Evaluation of UNDP contribution to Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
16	2012	Fundasaun Mahein blogs (2012)	\N	Fundasaun Mahein blogs (2012)	\N	\N	\N	\N	\N	\N	\N	BLG
17	2013	Fundasaun Mahein blogs (2013)	\N	Fundasaun Mahein blogs (2013)	\N	\N	\N	\N	\N	\N	\N	BLG
13	2009	Fundasaun Mahein blogs (2009)	\N	Fundasaun Mahein blogs (2009)	\N	\N	\N	\N	\N	\N	\N	BLG
15	2011	Fundasaun Mahein blogs (2011)	\N	Fundasaun Mahein blogs (2011)	\N	\N	\N	\N	\N	\N	\N	BLG
14	2010	Fundasaun Mahein blogs (2010)	\N	Fundasaun Mahein blogs (2010)	\N	\N	\N	\N	\N	\N	\N	BLG
82	2014	Local and indigenous knowledge for community resilience	\N	Local and indigenous knowledge for community resilience	\N	\N	\N	\N	\N	\N	\N	RPR
39	2008	A Survey of Community-Police Perceptions, 2008	Peskiza kona ba percepsaun polisia-communidade: Timor-Leste 2008	A Survey of Community-Police Perceptions, 2008	\N	\N	\N	\N	\N	\N	\N	RPR
29	2012	Careers Pathways for Law Graduates: A Survey of Law Graduates in Timor-Leste	\N	Careers Pathways for Law Graduates: A Survey of Law Graduates in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
30	2012	Community experiences of decentralised development in Timor-Leste	\N	Community experiences of decentralised development in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
21	2001	East Timor National Survey of Voter Knowledge	\N	East Timor National Survey of Voter Knowledge	\N	\N	\N	\N	\N	\N	\N	RPR
25	2009	Governance and civil society in Timor-Leste	\N	Governance and civil society in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
31	2012	Information and communication technology for development	\N	Information and communication technology for development	\N	\N	\N	\N	\N	\N	\N	RPR
38	2014	Institutionalising community policing in Timor-Leste	\N	Institutionalising community policing in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
23	2004	Law and Justice in East Timor	\N	Law and Justice in East Timor	\N	\N	\N	\N	\N	\N	\N	RPR
40	2008	Law and Justice in Timor-Leste: A Survey of Citizen Awareness and Attitudes Regarding Law and Justice 2008	Lei no Justisa iha Timor-leste: Peskiza ba Sidadaun nian Konsiensa no Atitude kona-bá Lei no Justisa 2008	Law and Justice in Timor-Leste: A Survey of Citizen Awareness and Attitudes Regarding Law and Justice 2008	\N	\N	\N	\N	\N	\N	\N	RPR
20	2013	Law and Justice Survey 2013	\N	Law and Justice Survey 2013	\N	\N	\N	\N	\N	\N	\N	RPR
26	2010	Ministry of Finance quality of service perception survey	\N	Ministry of Finance quality of service perception survey	\N	\N	\N	\N	\N	\N	\N	RPR
35	2013	Reflection on Law No. 3/2009: Community leadership and their election	\N	Reflection on Law No. 3/2009: Community leadership and their election	\N	\N	\N	\N	\N	\N	\N	RPR
22	2003	Supporting economic growth in East Timor	\N	Supporting economic growth in East Timor	\N	\N	\N	\N	\N	\N	\N	RPR
32	2012	Teaching children to read	\N	Teaching children to read	\N	\N	\N	\N	\N	\N	\N	RPR
24	2006	Timor-Leste	\N	Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
33	2012	Timor-Leste celebrates a decade of Independence	\N	Timor-Leste celebrates a decade of Independence	\N	\N	\N	\N	\N	\N	\N	RPR
19	2012	Trends of local governance in Timor-Leste	\N	Trends of local governance in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
34	2012	Working with female clients: A guideline for legal aid partners	\N	Working with female clients: A guideline for legal aid partners	\N	\N	\N	\N	\N	\N	\N	RPR
36	2013	Tara Bandu: Its role and use in community conflict prevention in Timor-Leste	\N	Tara Bandu: Its role and use in community conflict prevention in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
67	0	Alerts from Early Warning, Early Response (EWER)	Alerta husi Sistema Atensaun no Responde Sedu (AtRes)	Alerts from Early Warning, Early Response (EWER)	\N	\N	\N	\N	\N	\N	\N	RPR
68	\N	Policy brief (EWER)	Relatoriu politika (AtRes)	Policy brief (EWER)	\N	\N	\N	\N	\N	\N	\N	RPR
69	2009	Arte futus nian husi naroman ba nakukun	\N	Arte futus nian husi naroman ba nakukun	\N	\N	\N	\N	\N	\N	\N	RPR
70	2011	Regional Fisheries Livelihoods Programme	\N	Regional Fisheries Livelihoods Programme	\N	\N	\N	\N	\N	\N	\N	RPR
71	2013	Country Gender Assessment	\N	Country Gender Assessment	\N	\N	\N	\N	\N	\N	\N	RPR
72	2012	Approaches to domestic violence against women in Timor-Leste. A review and critique	Abordajen ba Violênsia Doméstika hasoru Feto iha Timor-Leste: Revizaun ho Krítika hosi Literatura	Approaches to domestic violence against women in Timor-Leste. A review and critique	\N	\N	\N	\N	\N	\N	\N	RPR
73	2011	Matenek Lokal Timor Nian Haktuir husi workshop Matenek Tradisional Riku soin ba Dezenvolvimentu, Dili, 7-8 Junhu 2011	\N	Matenek Lokal Timor Nian Haktuir husi workshop Matenek Tradisional Riku soin ba Dezenvolvimentu, Dili, 7-8 Junhu 2011	\N	\N	\N	\N	\N	\N	\N	RPR
74	2006	Migration patterns survey and HIV vulnerability assessment mapping in selected districts of Timor-Leste	\N	Migration patterns survey and HIV vulnerability assessment mapping in selected districts of Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
75	2012	Guide to facilitating dialogue and mediation in the community	Mata dalan fasilitasaun diálogu no mediasaun komunitária	Guide to facilitating dialogue and mediation in the community	\N	\N	\N	\N	\N	\N	\N	RPR
76	2000	Teaching Free Timor	\N	Teaching Free Timor	\N	\N	\N	\N	\N	\N	\N	RPR
78	2012	Safety at sea assessment in Timor-Leste small-scale fisheries sector	\N	Safety at sea assessment in Timor-Leste small-scale fisheries sector	\N	\N	\N	\N	\N	\N	\N	RPR
121	2014	Consolidated annual report on activities implemented under the joint programme "Local Governance Support" (LGSP) in Timor-Leste	\N	Consolidated annual report on activities implemented under the joint programme "Local Governance Support" (LGSP) in Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
122	2002	East Timor Development Report	\N	East Timor Development Report	\N	\N	\N	\N	\N	\N	\N	RPR
123	2006	Human Development Report Timor-Leste	\N	Human Development Report Timor-Leste	\N	\N	\N	\N	\N	\N	\N	RPR
