RPR	Report	\N	Report	\N	\N
BLG	Blog	\N	Blog	\N	\N
GDL	Guideline	\N	Guideline	\N	\N
BRC	Brochure	\N	Brochure	\N	\N
GLS	Glossary	\N	Glossary	\N	\N
BRF	Brief	\N	Brief	\N	\N
WB	Web	\N	Web	\N	\N
NWS	Newsletter	\N	Newsletter	\N	\N
FCT	Factsheet	\N	Factsheet	\N	\N
MP	Map	\N	Map	\N	\N
JRN	Journal article	\N	Journal article	\N	\N
PST	Poster	\N	Poster	\N	\N
GDB	Guidebook	\N	Guidebook	\N	\N
TBL	Table	\N	Table	\N	\N
WB,	Web, Media	\N	Web, Media	\N	\N
BK	Book	\N	Book	\N	\N
PRI	Primary Source	Informasaun Primerio	Primary Source		
OFF	Job Offer	\N	Job Offer	\N	\N
IMG	Image	Image	\N	\N	\N
\.


