1	law	\N	law	\N	\N
2	justice	\N	justice	\N	\N
3	crime	\N	crime	\N	\N
4	human rights	\N	human rights	\N	\N
5	refugees	\N	refugees	\N	\N
6	culture	\N	culture	\N	\N
7	economics	\N	economics	\N	\N
8	social	\N	social	\N	\N
9	police	\N	police	\N	\N
10	violence	\N	violence	\N	\N
11	occupation	\N	occupation	\N	\N
12	disappearance	\N	disappearance	\N	\N
13	impunity	\N	impunity	\N	\N
14	victim	\N	victim	\N	\N
15	military	\N	military	\N	\N
16	missing persons	\N	missing persons	\N	\N
17	democracy	\N	democracy	\N	\N
18	massacre	\N	massacre	\N	\N
19	police interventions	\N	police interventions	\N	\N
20	dignity	\N	dignity	\N	\N
21	international relations	\N	international relations	\N	\N
22	agriculture	\N	agriculture	\N	\N
23	institutions	\N	institutions	\N	\N
24	announcement	\N	announcement	\N	\N
25	budget	\N	budget	\N	\N
26	pntl	\N	pntl	\N	\N
27	weapons	\N	weapons	\N	\N
28	ffdtl	\N	ffdtl	\N	\N
29	capacity	\N	capacity	\N	\N
30	drugs	\N	drugs	\N	\N
31	human security	\N	human security	\N	\N
32	transparency	\N	transparency	\N	\N
33	community police	\N	community police	\N	\N
34	election	\N	election	\N	\N
35	veterans	\N	veterans	\N	\N
36	media	\N	media	\N	\N
37	adf	\N	adf	\N	\N
38	politics	\N	politics	\N	\N
39	commision b	\N	commision b	\N	\N
40	parliament	\N	parliament	\N	\N
41	development	\N	development	\N	\N
42	corruption	\N	corruption	\N	\N
43	land dispute	\N	land dispute	\N	\N
44	commerce	\N	commerce	\N	\N
45	international	\N	international	\N	\N
46	transport	\N	transport	\N	\N
47	border	\N	border	\N	\N
48	prison	\N	prison	\N	\N
49	terrorism	\N	terrorism	\N	\N
50	local governance	\N	local governance	\N	\N
51	suku	\N	suku	\N	\N
52	suku council	\N	suku council	\N	\N
53	administration	\N	administration	\N	\N
54	prosecution	\N	prosecution	\N	\N
55	court	\N	court	\N	\N
56	dispute resolution	\N	dispute resolution	\N	\N
57	separation	\N	separation	\N	\N
58	divorce	\N	divorce	\N	\N
59	domestic violence	\N	domestic violence	\N	\N
60	voters	\N	voters	\N	\N
61	economic growth	\N	economic growth	\N	\N
62	trade	\N	trade	\N	\N
63	business	\N	business	\N	\N
64	investment	\N	investment	\N	\N
65	sustainability	\N	sustainability	\N	\N
66	policy	\N	policy	\N	\N
67	rights	\N	rights	\N	\N
68	legal system	\N	legal system	\N	\N
69	legal institutions	\N	legal institutions	\N	\N
70	language	\N	language	\N	\N
71	legislation	\N	legislation	\N	\N
72	access to justice	\N	access to justice	\N	\N
73	civil society	\N	civil society	\N	\N
74	participation	\N	participation	\N	\N
75	council	\N	council	\N	\N
76	finance	\N	finance	\N	\N
77	tax	\N	tax	\N	\N
78	customs	\N	customs	\N	\N
79	procurement	\N	procurement	\N	\N
80	community policing	\N	community policing	\N	\N
81	reform	\N	reform	\N	\N
82	legal aid	\N	legal aid	\N	\N
83	punishment	\N	punishment	\N	\N
84	graduates	\N	graduates	\N	\N
85	career	\N	career	\N	\N
86	employment	\N	employment	\N	\N
87	community	\N	community	\N	\N
88	decentralization	\N	decentralization	\N	\N
89	communication	\N	communication	\N	\N
90	technology	\N	technology	\N	\N
91	information processing	\N	information processing	\N	\N
92	literacy	\N	literacy	\N	\N
93	read	\N	read	\N	\N
94	childen	\N	childen	\N	\N
95	school	\N	school	\N	\N
96	early development	\N	early development	\N	\N
97	nation building	\N	nation building	\N	\N
98	independence	\N	independence	\N	\N
99	government structure	\N	government structure	\N	\N
100	peace	\N	peace	\N	\N
101	reconciliation	\N	reconciliation	\N	\N
