3	Agriculture, animal husbandry, sewing, and fishing	\N	Agriculture, animal husbandry, sewing, and fishing	\N	\N	Basic community education and medical supplies	\N	Basic community education and medical supplies	\N	\N	2007-07-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
59	Irrigation and agricultural rehabilitation	\N	Irrigation and agricultural rehabilitation	\N	\N	\N	\N	\N	\N	\N	\N	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
75	Intregrated Agriculture	\N	Intregrated Agriculture	\N	\N	Provide capacity building for communities make rice and raising cattle	\N	Provide capacity building for communities make rice and raising cattle	\N	\N	2011-11-01	2013-12-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24141	Self Sustainability Activity Project	\N	Self Sustainability Activity Project	\N	\N	Computer, administration, and English courses	\N	Computer, administration, and English courses	\N	\N	2009-04-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
24159	Water and Sanitation Construction	\N	Water and Sanitation Construction	\N	\N	Capacity building for community water and sanitation	\N	Capacity building for community water and sanitation	\N	\N	2013-06-17	2014-07-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24158	Implementation of organic fertilizer water, vegetables and plants	\N	Implementation of organic fertilizer water, vegetables and plants	\N	\N	Provide training to the public how to use organic fertilizer properly	\N	Provide training to the public how to use organic fertilizer properly	\N	\N	2013-06-17	2014-10-31	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24157	News Package	\N	News Package	\N	\N	Making the Local News Programs of Agriculture, Health, Education, and Good morning Lautem	\N	Making the Local News Programs of Agriculture, Health, Education, and Good morning Lautem	\N	\N	2000-05-01	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
361	Hope family orphanage Gleno-4-6 development phases	\N	Hope family orphanage Gleno-4-6 development phases	\N	\N	\N	\N	\N	\N	\N	2003-05-01	2003-10-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
430	Office Rehabilitation	\N	Office Rehabilitation	\N	\N	\N	\N	\N	\N	\N	2003-01-01	2003-05-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
433	Training For Agricultur, Make Medicide Organic, the end Sick Agriculture and Product Salate Manure	\N	Training For Agricultur, Make Medicide Organic, the end Sick Agriculture and Product Salate Manure	\N	\N	\N	\N	\N	\N	\N	2007-05-03	\N	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24440	Youth Radio for Peace Building in Timor-Leste	\N	Youth Radio for Peace Building in Timor-Leste	\N	\N	Support to non Governmental organizations (NGOS)	\N	Support to non Governmental organizations (NGOS)	\N	\N	2010-04-01	2015-04-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
463	Family Hope Orphanage	\N	Family Hope Orphanage	\N	\N	\N	\N	\N	\N	\N	2002-08-01	2002-11-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
23320	Make Aksesoris	\N	Make Aksesoris	\N	\N	Make earrings and necklaces	\N	Make earrings and necklaces	\N	\N	2009-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
23321	Agriculture	\N	Agriculture	\N	\N	Kuda Modo	\N	Kuda Modo	\N	\N	2008-01-01	\N	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
486	Training for Development and Capacity Building	\N	Training for Development and Capacity Building	\N	\N	NA	\N	NA	\N	\N	2001-05-01	2004-05-01	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
488	Transitional Shelter, Rehabilitation of Shelter, Camp Management of Transitonal Sites	\N	Transitional Shelter, Rehabilitation of Shelter, Camp Management of Transitonal Sites	\N	\N	Shelter and camp management for IDPs	\N	Shelter and camp management for IDPs	\N	\N	0200-11-01	2007-06-07	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
24030	Baucau Maternal and Child Health (MCH) Project	\N	Baucau Maternal and Child Health (MCH) Project	\N	\N	Maternal and Child Health Nutrition	\N	Maternal and Child Health Nutrition	\N	\N	2010-10-01	2016-09-01	2016-03-23	\N	\N	\N	\N	\N	A	\N	\N	\N
24077	Agriculture	\N	Agriculture	\N	\N	Horticulture	\N	Horticulture	\N	\N	2010-12-01	2014-04-30	2016-03-23	\N	\N	\N	\N	\N	C	\N	\N	\N
