1	ACT.DLG	Dialogue	Diálogu	Dialogue	Diálogo	\N		\N		\N	\N
2	ACT.TRN	Training	Treinamentu	Training	Treinamento	\N		\N		\N	\N
3	ACT.CAP	Capacity Strengthening	Kapasidade Haforsa	Capacity Strengthening	Capacidade de Fortalecimento	\N		\N		\N	\N
4	ACT.ADV	Advocacy	Advokasia	Advocacy	Advocacia	\N		\N		\N	\N
5	ACT.RES	Research	Peskiza	Research	Pesquisa	\N		\N		\N	\N
6	ACT.SSV	Social Services	Servisu Sosiál	Social Services	Serviços Sociais	\N		\N		\N	\N
7	ACT.INF	Infrastructure and Rehabilitation	Infrastrutura no Reabilitasaun	Infrastructure and Rehabilitation	Infra-estrutura e Reabilitação	\N		\N		\N	\N
8	ACT.INC	Income Generation	Rendimentu Generatio	Income Generation	Geração de renda	Generasi pendapatan		\N		\N	\N
9	ACT.MFC	Microfinance and Credit	Diálogu	Microfinance and Credit	Microfinanças e Crédito	\N		\N		\N	\N
10	ACT.GRA	Small Grants	Fundus ki'ik	Small Grants	Pequenas Subvenções	\N		\N		\N	\N
11	ACT.PUB	Public Information	Públiku Informasaun	Public Information	Informação Pública	\N		\N		\N	\N
12	ACT.ADS	Advisory Support	Asesoria Apoiu	Advisory Support	Apoio Consultivo	\N		\N		\N	\N
13	ACT.NET	Networking	Rede	Networking	Networking	\N		\N		\N	\N
14	INV.EDU	Education	Edukasaun	Education	Educação	\N		\N		\N	\N
15	INV.AGR	Agriculture and Food Security	Agrikultura no ai-Han Seguransa	Agriculture and Food Security	Agricultura e Segurança Alimentar	\N		\N		\N	\N
16	INV.DLG	Dialogue	Diálogu	Dialogue	Diálogo	\N		\N		\N	\N
17	INV.HLT	Health	Saúde	Health	Saúde	\N		\N		\N	\N
18	INV.CDV	Community Development	Komunitária Dezenvolvimentu 	Community Development	Desenvolvimento Comunitário	\N		\N		\N	\N
19	INV.NAT	Natural Resources Enviroment and Energy	Rekursu Naturál Enviroment no Enerjia	Natural Resources Enviroment and Energy	Recursos Naturais e Meio Ambiente Energia	\N		\N		\N	\N
20	INV.INF	Infrastructure	Infrastrutura	Infrastructure	Infra-estrutura	\N		\N		\N	\N
21	INV.JUS	Justice Human Rights and Protection	Justisa Direitus Umanus no Protesaun	Justice Human Rights and Protection	Justiça Direitos Humanos e Proteção	\N		\N		\N	\N
22	INV.WAT	Water and Sanitation	Bee no Saneamentu	Water and Sanitation	Água e Saneamento	\N		\N		\N	\N
23	INV.ECD	Economic Development	Ekonómiku Dezenvolvimentu	Economic Development	Desenvolvimento econômico	\N		\N		\N	\N
24	INV.CPP	Conflict Prevention and Peace Strengthening	Konflitu Prevensaun no Dame Haforsa	Conflict Prevention and Peace Strengthening	Prevenção de Conflitos e fortalecimento da paz	\N		\N		\N	\N
25	INV.GOV	Governance	Governasaun	Governance	Governo	\N		\N		\N	\N
26	INV.MED	Media and Public Information	Mídia no Públiku Informasaun	Media and Public Information	Mídia e Informação Pública	\N		\N		\N	\N
27	INV.GEN	Gender Equality	Jéneru Igualdade	Gender Equality	Igualdade de Género	\N		\N		\N	\N
28	INV.CRD	Coordination	Koordenasaun	Coordination	Coordenação	\N		\N		\N	\N
29	INV.FIS	Fisheries	Peskas	Fisheries	Pescas	\N		\N		\N	\N
30	INV.NUT	Nutrition	Nutrisaun	Nutrition	Nutrição	\N		\N		\N	\N
31	INV.DRM	Disaster Risk Management	Redusaun Risku Jestaun	Disaster Risk Management	Gestão do Risco de Desastres	\N		\N		\N	\N
32	INV.HIV	HIV/Aids	HIV/Sida	HIV/Aids	HIV / Aids	\N		\N		\N	\N
33	INV.FDA	Food Aid	Ai-han ajuda	Food Aid	Ajuda Alimentar	\N		\N		\N	\N
34	INV.SHL	Emergency Shelter	Uma Emerjénsia	Emergency Shelter	Abrigo de Emergência	\N		\N		\N	\N
35	INV.SEC	Security	Seguransa	Security	Segurança	\N		\N		\N	\N
36	BEN.YOU	Youth	Joven	Youth	Juventude	\N		\N		\N	\N
37	BEN.COM	Community (general)	Komunidade (jerál)	Community (general)	Comunidade (geral)	\N		\N		\N	\N
38	BEN.CHI	Children	Labarik	Children	Crianças	\N		\N		\N	\N
39	BEN.WOM	Women	Feto	Women	Mulheres	\N		\N		\N	\N
40	BEN.WID	Widows	Feto-faluk	Widows	Viúvas	\N		\N		\N	\N
41	BEN.ORG	Organizations	Organizasaun	Organizations	Organizações	\N		\N		\N	\N
42	BEN.GOV	Government	Governu	Government	Governo	\N		\N		\N	\N
43	BEN.PRO	Professionals	Profisionais	Professionals	Profissionais	\N		\N		\N	\N
44	BEN.SUR	Survivors of Violence	Ema moris depois trauma	Survivors of Violence	Sobreviventes de violência	\N		\N		\N	\N
45	BEN.IDP	IDPs	IDPs	IDPs	IDPs	\N		\N		\N	\N
46	BEN.SCC	Suco councils	Conselhos de Suco	Suco councils	Conselhos de Suco	\N		\N		\N	\N
47	BEN.EXC	Ex-combatants	Ex-combatants	Ex-combatants	Ex-combatentes	\N		\N		\N	\N
48	BEN.SPE	Special Needs	Espesiál Presiza	Special Needs	Necessidades Especiais	\N		\N		\N	\N
51	ACT	Activities	Atividade	Activities	Atividades	\N	Activities	\N	Activities	\N	\N
52	BEN	Beneficiaries	Benefisario	Beneficiaries	Beneficiários	\N	Beneficiaries	\N	Beneficiaries	\N	\N
55	BEN.COU	Couples	Ema nain rua kazamento	Couples			Couples		Couples		
56	BEN.FAR	Farmers	to'os nain	Farmers			Farmers		Farmers		
57	BEN.CHU	Church leaders	Katekista	Church leaders			Church leaders		Church leaders		
58	BEN.MUS	Musical groups	\N	\N	\N	Musical groups	Musical groups	\N	\N	\N	Musical groups
53	INV	Sector	Setora	Sector	Setor		Areas of Involvement		Areas of Involvement		
62	BEN.PEHIV	People living with HIV AIDS	Ema ne'ebe moris ho HIV AIDS	People living with HIV AIDS			People living with HIV AIDS	Ema ne'ebe moris ho HIV AIDS	People living with HIV AIDS		
60	INV.HTR	Human Trafficking	Trafiku Humanu	Human Trafficking			Human Trafficking	Trafiku Humanu	Human Trafficking		
61	BEN.GK	Community in rural areas	Grupo komunidade sira iha nivel rurais	Community in rural areas			Community in rural areas	Grupo komunidade sira iha nivel rurais	Community in rural areas		
\.


