Costa	Pante Macasar	Oecussi	1
Vila Verde	Vera Cruz	Dili	2
Manutasi	Ainaro	Ainaro	3
Suai Loro	Suai	Covalima	4
Letefoho	Same	Manufahi	5
Sabuli	Metinaro	Dili	6
Lahomea	Maliana	Bobonaro	7
Bidau Lecidere	Nain Feto	Dili	8
Tutuala	Tutuala	Lautem	10
Loidahar	Liquica	Liquica	11
Fatuhada	Dom Aleixo	Dili	12
Gricenfor	Nain Feto	Dili	13
Loidahar	Liquica	Liquica	14
Comoro	Dom Aleixo	Dili	15
Colmera	Vera Cruz	Dili	16
Caicoli	Vera Cruz	Dili	17
Macarenhas	Vera Cruz	Dili	18
Caicoli	Vera Cruz	Dili	19
Costa	Pante Macasar	Oecussi	20
Bairro Pite	Dom Aleixo	Dili	21
Debos	Suai	Covalima	22
Fuiloro	Lospalos	Lautem	23
Fuiloro	Lospalos	Lautem	24
Motael	Vera Cruz	Dili	25
Bidau Lecidere	Nain Feto	Dili	26
Bahu	Baucau	Baucau	27
Ossu-Huna	Baguia	Baucau	28
Trilolo	Baucau	Baucau	29
Bemori	Nain Feto	Dili	30
Mau-Ulo	Ainaro	Ainaro	31
Seloi Malere	Aileu Vila	Aileu	32
Motael	Vera Cruz	Dili	33
Becora	Cristo Rei	Dili	34
Trilolo	Baucau	Baucau	35
Vila Verde	Vera Cruz	Dili	36
Gricenfor	Nain Feto	Dili	37
Becora	Cristo Rei	Dili	38
Comoro	Dom Aleixo	Dili	39
Com	Lautem	Lautem	40
Becora	Cristo Rei	Dili	41
Gricenfor	Nain Feto	Dili	42
Caraubalo	Viqueque	Viqueque	43
Fuiloro	Lospalos	Lautem	44
Madabeno	Laulara	Aileu	45
Macarenhas	Vera Cruz	Dili	46
Meligo	Cailaco	Bobonaro	47
Meligo	Cailaco	Bobonaro	48
Bobonaro	Bobonaro	Bobonaro	49
Baguia	Quelicai	Baucau	50
Comoro	Dom Aleixo	Dili	51
Vaviquinia	Maubara	Liquica	52
Vaviquinia	Maubara	Liquica	53
Fuiloro	Lospalos	Lautem	54
Fuiloro	Lospalos	Lautem	55
Taiboco	Pante Macasar	Oecussi	56
Lalisuc	Pante Macasar	Oecussi	57
Comoro	Dom Aleixo	Dili	58
Loidahar	Liquica	Liquica	59
Taiboco	Pante Macasar	Oecussi	60
Motael	Vera Cruz	Dili	61
Meligo	Cailaco	Bobonaro	62
Meligo	Cailaco	Bobonaro	63
Dau Udo	Cailaco	Bobonaro	64
Balibo Vila	Balibo	Bobonaro	65
Tapo/Memo	Maliana	Bobonaro	66
Bobonaro	Bobonaro	Bobonaro	67
Manapa	Cailaco	Bobonaro	68
Manapa	Cailaco	Bobonaro	69
Bobonaro	Bobonaro	Bobonaro	70
Dau Udo	Cailaco	Bobonaro	71
Leohito	Balibo	Bobonaro	72
Aidabaleten	Atabae	Bobonaro	73
Odomau	Maliana	Bobonaro	74
Manapa	Cailaco	Bobonaro	75
Lahomea	Maliana	Bobonaro	76
Lahomea	Maliana	Bobonaro	77
Tapo/Memo	Maliana	Bobonaro	78
Motael	Vera Cruz	Dili	79
Cunha	Pante Macasar	Oecussi	80
Costa	Pante Macasar	Oecussi	81
Cunha	Pante Macasar	Oecussi	82
Lela-Ufe	Nitibe	Oecussi	83
Costa	Pante Macasar	Oecussi	84
Abani	Passabe	Oecussi	85
Naimeco	Pante Macasar	Oecussi	86
Cunha	Pante Macasar	Oecussi	87
Lauhata	Bazartete	Liquica	88
Maumeta	Remexio	Aileu	89
Biceli	Atauro	Dili	90
Comoro	Dom Aleixo	Dili	91
Comoro	Dom Aleixo	Dili	92
Fatuhada	Dom Aleixo	Dili	93
Seloi Malere	Aileu Vila	Aileu	94
Gricenfor	Nain Feto	Dili	95
Letefoho	Same	Manufahi	96
Fuiloro	Lospalos	Lautem	97
Culu Hun	Cristo Rei	Dili	98
Macarenhas	Vera Cruz	Dili	99
Fatuhada	Dom Aleixo	Dili	100
Comoro	Dom Aleixo	Dili	101
Bairro Pite	Dom Aleixo	Dili	102
Bairro Pite	Dom Aleixo	Dili	103
Gricenfor	Nain Feto	Dili	104
Vatuvou	Maubara	Liquica	105
Seloi Malere	Aileu Vila	Aileu	106
Becora	Cristo Rei	Dili	107
Colmera	Vera Cruz	Dili	108
Aidabaleten	Atabae	Bobonaro	109
Colmera	Vera Cruz	Dili	110
Becora	Cristo Rei	Dili	111
Comoro	Dom Aleixo	Dili	112
Dare	Vera Cruz	Dili	113
Lahane Ocidental	Vera Cruz	Dili	114
Comoro	Dom Aleixo	Dili	115
Comoro	Dom Aleixo	Dili	116
Fatuhada	Dom Aleixo	Dili	117
Becora	Cristo Rei	Dili	118
Comoro	Dom Aleixo	Dili	119
Bidau Santana	Cristo Rei	Dili	120
Fatuhada	Dom Aleixo	Dili	121
Comoro	Dom Aleixo	Dili	122
Comoro	Dom Aleixo	Dili	124
Poetete	Ermera	Ermera	125
Costa	Pante Macasar	Oecussi	127
Fuiloro	Lospalos	Lautem	128
Fuiloro	Lospalos	Lautem	129
Bairro Pite	Dom Aleixo	Dili	130
Motael	Vera Cruz	Dili	131
Becora	Cristo Rei	Dili	132
Bairro Pite	Dom Aleixo	Dili	133
Bairro Pite	Dom Aleixo	Dili	134
Trilolo	Baucau	Baucau	135
Vila Verde	Vera Cruz	Dili	136
Comoro	Dom Aleixo	Dili	137
Colmera	Vera Cruz	Dili	138
Caicoli	Vera Cruz	Dili	139
Motael	Vera Cruz	Dili	140
Mau-Ulo	Ainaro	Ainaro	141
Vila Verde	Vera Cruz	Dili	142
Aisirimou	Aileu Vila	Aileu	143
Trilolo	Baucau	Baucau	144
